ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,no_change_wins_cost_adj,turnover_reduction_pct,no_change_wins_turnover
USDMXN=X,wf_15,us_entity_long_mxn,walk_forward,2021-09-14..2022-09-13,forward_full,3.911,3.827,2.0,6.5,True,69.23,True
USDMXN=X,wf_15,receiver_currency_exposure,walk_forward,2021-09-14..2022-09-13,base,6.616,6.593,2.0,6.5,True,69.23,True
USDMXN=X,wf_15,receiver_currency_exposure,walk_forward,2021-09-14..2022-09-13,forward_full,3.911,3.827,2.0,6.5,True,69.23,True
USDMXN=X,wf_15,usd_liability_exposure,walk_forward,2021-09-14..2022-09-13,base,6.617,6.588,2.0,6.5,True,69.23,True
USDMXN=X,wf_15,usd_liability_exposure,walk_forward,2021-09-14..2022-09-13,forward_full,3.917,3.812,2.0,6.5,True,69.23,True
USDMXN=X,wf_16,us_entity_long_mxn,walk_forward,2022-09-14..2023-09-13,base,6.406,6.057,1.3,3.7,True,64.86,True
USDMXN=X,wf_16,us_entity_long_mxn,walk_forward,2022-09-14..2023-09-13,forward_full,3.662,3.424,1.3,3.7,True,64.86,True
USDMXN=X,wf_16,receiver_currency_exposure,walk_forward,2022-09-14..2023-09-13,base,6.406,6.057,1.3,3.7,True,64.86,True
USDMXN=X,wf_16,receiver_currency_exposure,walk_forward,2022-09-14..2023-09-13,forward_full,3.662,3.424,1.3,3.7,True,64.86,True
USDMXN=X,wf_16,usd_liability_exposure,walk_forward,2022-09-14..2023-09-13,base,6.408,6.062,1.3,3.7,True,64.86,True
USDMXN=X,wf_16,usd_liability_exposure,walk_forward,2022-09-14..2023-09-13,forward_full,3.668,3.433,1.3,3.7,True,64.86,True
USDMXN=X,wf_17,us_entity_long_mxn,walk_forward,2023-09-14..2024-09-13,base,8.286,8.302,1.0,3.4,False,70.59,True
USDMXN=X,wf_17,us_entity_long_mxn,walk_forward,2023-09-14..2024-09-13,forward_full,5.586,5.674,1.0,3.4,False,70.59,True
USDMXN=X,wf_17,receiver_currency_exposure,walk_forward,2023-09-14..2024-09-13,base,8.286,8.302,1.0,3.4,False,70.59,True
USDMXN=X,wf_17,receiver_currency_exposure,walk_forward,2023-09-14..2024-09-13,forward_full,5.586,5.674,1.0,3.4,False,70.59,True
USDMXN=X,wf_17,usd_liability_exposure,walk_forward,2023-09-14..2024-09-13,base,8.286,8.304,1.0,3.4,False,70.59,True
USDMXN=X,wf_17,usd_liability_exposure,walk_forward,2023-09-14..2024-09-13,forward_full,5.588,5.678,1.0,3.4,False,70.59,True
USDMXN=X,wf_18,us_entity_long_mxn,walk_forward,2024-09-14..2025-09-13,base,7.26,7.214,1.3,3.1,True,58.06,True
USDMXN=X,wf_18,us_entity_long_mxn,walk_forward,2024-09-14..2025-09-13,forward_full,4.535,4.543,1.3,3.1,False,58.06,True
USDMXN=X,wf_18,receiver_currency_exposure,walk_forward,2024-09-14..2025-09-13,base,7.26,7.214,1.3,3.1,True,58.06,True
USDMXN=X,wf_18,receiver_currency_exposure,walk_forward,2024-09-14..2025-09-13,forward_full,4.535,4.543,1.3,3.1,False,58.06,True
USDMXN=X,wf_18,usd_liability_exposure,walk_forward,2024-09-14..2025-09-13,base,7.258,7.209,1.3,3.1,True,58.06,True
USDMXN=X,wf_18,usd_liability_exposure,walk_forward,2024-09-14..2025-09-13,forward_full,4.53,4.536,1.3,3.1,False,58.06,True
USDMXN=X,wf_19,us_entity_long_mxn,walk_forward,2025-09-14..2026-05-15,base,5.07,4.968,0.2,2.0,True,90.0,True
USDMXN=X,wf_19,us_entity_long_mxn,walk_forward,2025-09-14..2026-05-15,forward_full,3.251,3.253,0.2,2.0,False,90.0,True
USDMXN=X,wf_19,receiver_currency_exposure,walk_forward,2025-09-14..2026-05-15,base,5.07,4.968,0.2,2.0,True,90.0,True
USDMXN=X,wf_19,receiver_currency_exposure,walk_forward,2025-09-14..2026-05-15,forward_full,3.251,3.253,0.2,2.0,False,90.0,True
USDMXN=X,wf_19,usd_liability_exposure,walk_forward,2025-09-14..2026-05-15,base,5.07,4.969,0.2,2.0,True,90.0,True
USDMXN=X,wf_19,usd_liability_exposure,walk_forward,2025-09-14..2026-05-15,forward_full,3.25,3.262,0.2,2.0,False,90.0,True
USDBRL=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,base,11.368,11.019,3.8,13.2,True,71.21,True
USDBRL=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,-6.94,-6.323,3.8,13.2,False,71.21,True
USDBRL=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,base,11.368,11.021,3.8,13.2,True,71.21,True
USDBRL=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,-6.941,-6.322,3.8,13.2,False,71.21,True
USDBRL=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,base,9.161,8.529,4.1,15.5,True,73.55,True
USDBRL=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-8.9,-8.773,4.1,15.5,False,73.55,True
USDBRL=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,base,9.162,8.529,4.1,15.5,True,73.55,True
USDBRL=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-8.897,-8.766,4.1,15.5,False,73.55,True
USDBRL=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,base,8.183,7.831,1.6,6.2,True,74.19,True
USDBRL=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,-0.17,0.07,1.6,6.2,False,74.19,True
USDBRL=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,base,8.184,7.829,1.6,6.2,True,74.19,True
USDBRL=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,-0.163,0.082,1.6,6.2,False,74.19,True
USDBRL=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,base,13.817,12.44,0.7,2.5,True,72.0,True
USDBRL=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,forward_full,7.686,6.929,0.7,2.5,True,72.0,True
USDBRL=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,base,13.819,12.441,0.7,2.5,True,72.0,True
USDBRL=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,forward_full,7.693,6.933,0.7,2.5,True,72.0,True
USDBRL=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,base,15.222,16.408,0.6,3.3,False,81.82,True
USDBRL=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,forward_full,9.354,10.51,0.6,3.3,False,81.82,True
USDBRL=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,base,15.222,16.411,0.6,3.3,False,81.82,True
USDBRL=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,forward_full,9.354,10.524,0.6,3.3,False,81.82,True
USDBRL=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,base,11.312,10.537,0.8,3.7,True,78.38,True
USDBRL=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,forward_full,5.191,5.135,0.8,3.7,True,78.38,True
USDBRL=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,base,11.314,10.538,0.8,3.7,True,78.38,True
USDBRL=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,forward_full,5.203,5.139,0.8,3.7,True,78.38,True
USDBRL=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,base,6.787,6.044,0.8,3.8,True,78.95,True
USDBRL=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,forward_full,0.595,1.062,0.8,3.8,False,78.95,True
USDBRL=X,wf_3,usd_liability_exposure,walk_forward,2012-03-19..2013-03-18,base,6.784,6.04,0.8,3.8,True,78.95,True
USDBRL=X,wf_3,usd_liability_exposure,walk_forward,2012-03-19..2013-03-18,forward_full,0.591,1.048,0.8,3.8,False,78.95,True
USDBRL=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-19..2014-03-18,base,8.399,8.887,0.8,3.2,False,75.0,True
USDBRL=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-19..2014-03-18,forward_full,2.59,2.896,0.8,3.2,False,75.0,True
USDBRL=X,wf_4,usd_liability_exposure,walk_forward,2013-03-19..2014-03-18,base,8.401,8.888,0.8,3.2,False,75.0,True
USDBRL=X,wf_4,usd_liability_exposure,walk_forward,2013-03-19..2014-03-18,forward_full,2.593,2.91,0.8,3.2,False,75.0,True
USDBRL=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-19..2015-03-18,base,9.45,9.914,0.1,2.5,False,96.0,True
USDBRL=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-19..2015-03-18,forward_full,3.584,4.099,0.1,2.5,False,96.0,True
USDBRL=X,wf_5,usd_liability_exposure,walk_forward,2014-03-19..2015-03-18,base,9.451,9.917,0.1,2.5,False,96.0,True
USDBRL=X,wf_5,usd_liability_exposure,walk_forward,2014-03-19..2015-03-18,forward_full,3.577,4.104,0.1,2.5,False,96.0,True
USDBRL=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-19..2016-03-18,base,13.096,13.712,2.8,5.6,False,50.0,True
USDBRL=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-19..2016-03-18,forward_full,7.079,7.637,2.8,5.6,False,50.0,True
USDBRL=X,wf_6,usd_liability_exposure,walk_forward,2015-03-19..2016-03-18,base,13.096,13.717,2.8,5.6,False,50.0,True
USDBRL=X,wf_6,usd_liability_exposure,walk_forward,2015-03-19..2016-03-18,forward_full,7.082,7.653,2.8,5.6,False,50.0,True
USDBRL=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-19..2017-03-18,base,11.146,10.839,0.7,3.7,True,81.08,True
USDBRL=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-19..2017-03-18,forward_full,5.068,5.161,0.7,3.7,False,81.08,True
USDBRL=X,wf_7,usd_liability_exposure,walk_forward,2016-03-19..2017-03-18,base,11.147,10.839,0.7,3.7,True,81.08,True
USDBRL=X,wf_7,usd_liability_exposure,walk_forward,2016-03-19..2017-03-18,forward_full,5.072,5.17,0.7,3.7,False,81.08,True
USDBRL=X,wf_8,receiver_currency_exposure,walk_forward,2017-03-19..2018-03-18,base,10.732,10.894,0.8,3.5,False,77.14,True
USDBRL=X,wf_8,receiver_currency_exposure,walk_forward,2017-03-19..2018-03-18,forward_full,4.743,5.502,0.8,3.5,False,77.14,True
USDBRL=X,wf_8,usd_liability_exposure,walk_forward,2017-03-19..2018-03-18,base,10.735,10.902,0.8,3.5,False,77.14,True
USDBRL=X,wf_8,usd_liability_exposure,walk_forward,2017-03-19..2018-03-18,forward_full,4.753,5.527,0.8,3.5,False,77.14,True
USDBRL=X,wf_9,receiver_currency_exposure,walk_forward,2018-03-19..2019-03-18,base,10.955,11.631,2.6,6.3,False,58.73,True
USDBRL=X,wf_9,receiver_currency_exposure,walk_forward,2018-03-19..2019-03-18,forward_full,5.066,5.484,2.6,6.3,False,58.73,True
USDBRL=X,wf_9,usd_liability_exposure,walk_forward,2018-03-19..2019-03-18,base,10.954,11.633,2.6,6.3,False,58.73,True
