ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj,half_cost_adj,no_change_turnover,half_turnover,no_change_wins_cost_adj,turnover_reduction_pct,static_benchmark,mostly_cost_adj,mostly_turnover
USDBRL=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,forward_full,9.354,7.821,0.6,0.0,True,,half_hedged,,
USDBRL=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,base,11.312,8.716,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,forward_full,5.191,4.235,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,base,11.314,8.716,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,forward_full,5.203,4.235,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,base,6.787,5.205,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,forward_full,0.595,0.707,0.8,0.0,False,,half_hedged,,
USDBRL=X,wf_3,usd_liability_exposure,walk_forward,2012-03-19..2013-03-18,base,6.784,5.205,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_3,usd_liability_exposure,walk_forward,2012-03-19..2013-03-18,forward_full,0.591,0.707,0.8,0.0,False,,half_hedged,,
USDBRL=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-19..2014-03-18,base,8.399,6.79,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-19..2014-03-18,forward_full,2.59,2.292,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_4,usd_liability_exposure,walk_forward,2013-03-19..2014-03-18,base,8.401,6.79,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_4,usd_liability_exposure,walk_forward,2013-03-19..2014-03-18,forward_full,2.593,2.292,0.8,0.0,True,,half_hedged,,
USDBRL=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-19..2015-03-18,base,9.45,7.61,0.1,0.0,True,,half_hedged,,
USDBRL=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-19..2015-03-18,forward_full,3.584,3.095,0.1,0.0,True,,half_hedged,,
USDBRL=X,wf_5,usd_liability_exposure,walk_forward,2014-03-19..2015-03-18,base,9.451,7.61,0.1,0.0,True,,half_hedged,,
USDBRL=X,wf_5,usd_liability_exposure,walk_forward,2014-03-19..2015-03-18,forward_full,3.577,3.095,0.1,0.0,True,,half_hedged,,
USDBRL=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-19..2016-03-18,base,13.096,10.504,2.8,0.0,True,,half_hedged,,
USDBRL=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-19..2016-03-18,forward_full,7.079,5.971,2.8,0.0,True,,half_hedged,,
USDBRL=X,wf_6,usd_liability_exposure,walk_forward,2015-03-19..2016-03-18,base,13.096,10.504,2.8,0.0,True,,half_hedged,,
USDBRL=X,wf_6,usd_liability_exposure,walk_forward,2015-03-19..2016-03-18,forward_full,7.082,5.971,2.8,0.0,True,,half_hedged,,
USDBRL=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-19..2017-03-18,base,11.146,8.623,0.7,0.0,True,,half_hedged,,
USDBRL=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-19..2017-03-18,forward_full,5.068,4.125,0.7,0.0,True,,half_hedged,,
USDBRL=X,wf_7,usd_liability_exposure,walk_forward,2016-03-19..2017-03-18,base,11.147,8.623,0.7,0.0,True,,half_hedged,,
